BOWLING,OVERS,MAIDEN,WICKETS,ECONOMY,ZEROES,WIDE BALLS,NO BALLS,BOWLING_TEAM
Dilshan Madushanka,10,0,5,8,25,6,0,Sri-Lanka
Dushmantha Chameera,10,2,1,7.1,28,0,0,Sri-Lanka
Kasun Rajitha,9,0,0,7.22,25,1,0,Sri-Lanka
Angelo Mathews,3,0,0,3.66,10,0,0,Sri-Lanka
Maheesh Theekshana,10,0,0,6.7,18,1,0,Sri-Lanka
Dushan Hemantha,8,0,0,6.5,17,0,1,Sri-Lanka
Jasprit Bumrah,5,1,1,1.6,26,3,0,India
Mohammed Siraj,7,2,3,2.28,35,1,0,India
Mohammed Shami,5,1,5,3.6,22,0,0,India
Kuldeep Yadav,2,0,0,1.5,9,0,0,India
Ravindra Jadeja,0.4,0,1,6,3,0,0,India
Mujeeb Ur Rahman,10,0,1,4,40,3,0,Afghanistan
Fazalhaq Farooqi,5,0,0,7.2,20,2,0,Afghanistan
Azmatullah Omarzai,3,0,0,3.66,10,0,0,Afghanistan
Mohammad Nabi,9.3,1,3,2.94,39,1,0,Afghanistan
Rashid Khan,10,0,0,3.1,35,3,0,Afghanistan
Noor Ahmad,9,0,2,3.44,36,3,0,Afghanistan
Aryan Dutt,8.3,0,0,5.76,25,3,0,Netherlands
Logan van Beek,7,0,1,4.28,26,2,0,Netherlands
Paul van Meekeren,5,0,0,7,15,1,1,Netherlands
Roelof van der Merwe,5,0,1,5.4,11,0,0,Netherlands
Saqib Zulfiqar,3,0,1,8.33,8,0,1,Netherlands
Colin Ackermann,3,0,0,4,8,1,0,Netherlands
Shaheen Shah Afridi,10,0,0,9,24,5,0,Pakistan
Hasan Ali,10,0,1,8.2,26,2,1,Pakistan
Iftikhar Ahmed,8,0,1,6.87,20,0,0,Pakistan
Haris Rauf,10,0,1,8.5,24,2,0,Pakistan
Mohammad Wasim,10,0,3,6,28,3,0,Pakistan
Agha Salman,2,0,0,10.5,3,1,0,Pakistan
Trent Boult,6,0,0,8.33,20,2,0,New-Zealand
Tim Southee,5,0,1,5.4,17,0,0,New-Zealand
Mitchell Santner,5,0,0,7,13,0,0,New-Zealand
Glenn Phillips,5,1,0,8.4,13,0,0,New-Zealand
Ish Sodhi,4,0,0,11,6,1,0,New-Zealand
Daryl Mitchell,0.3,0,0,2,2,0,0,New-Zealand
David Willey,10,1,1,4.8,31,1,0,England
Chris Woakes,9.3,0,4,5.68,31,0,0,England
Mark Wood,10,0,2,7,27,3,0,England
Liam Livingstone,6,0,1,7,10,0,0,England
Moeen Ali,4,0,0,7,9,0,0,England
Adil Rashid,10,0,2,3.8,34,0,0,England
Mitchell Starc,10,0,2,6.6,29,4,0,Australia
Josh Hazlewood,9.1,1,2,5.34,34,2,0,Australia
Pat Cummins,10,1,2,4.9,32,0,0,Australia
Adam Zampa,10,0,3,2.1,41,2,0,Australia
Travis Head,5,0,0,5.6,12,0,0,Australia
Marcus Stoinis,4,0,1,8.5,8,0,0,Australia
Lungi Ngidi,8.2,0,1,7.56,29,2,0,South-Africa
Marco Jansen,9.4,0,1,9.72,28,7,1,South-Africa
