BATTING,RUNS,FOURS,SIXES,STRICK RATE,BATTING_TEAM
Usama Mir,0,0,0,0,Pakistan
Shaheen Shah Afridi,10,2,0,125,Pakistan
Hasan Ali,8,2,0,100,Pakistan
Haris Rauf,0,0,0,0,Pakistan
Vikramjit Singh,4,1,0,30.76,Netherlands
Max O'Dowd,16,1,1,59.25,Netherlands
Colin Ackermann,29,5,0,93.54,Netherlands
Bas de Leede,6,0,0,28.57,Netherlands
Teja Nidamanuru,9,0,0,56.25,Netherlands
Scott Edwards(c) wk ,16,0,0,100,Netherlands
Sybrand Engelbrecht,70,4,1,85.36,Netherlands
Logan van Beek,59,1,1,78.66,Netherlands
Roelof van der Merwe,7,0,0,100,Netherlands
Aryan Dutt,9,1,0,150,Netherlands
Paul van Meekeren,4,0,0,80,Netherlands
Pathum Nissanka,54,9,0,103.84,Sri-Lanka
Kusal Perera,5,1,0,62.5,Sri-Lanka
Kusal Mendis(c) wk ,11,2,0,64.7,Sri-Lanka
Sadeera Samarawickrama,91,7,0,85.04,Sri-Lanka
Charith Asalanka,44,2,1,66.66,Sri-Lanka
Dhananjaya de Silva,30,1,2,81.08,Sri-Lanka
Dushan Hemantha,4,1,0,133.33,Sri-Lanka
Quinton de Kock wk ,4,1,0,200,South-Africa
Reeza Hendricks,85,9,3,113.33,South-Africa
Rassie van der Dussen,60,8,0,98.36,South-Africa
Aiden Markram(c),42,4,0,95.45,South-Africa
Heinrich Klaasen,109,12,4,162.68,South-Africa
David Miller,5,1,0,83.33,South-Africa
Marco Jansen,75,3,6,178.57,South-Africa
Gerald Coetzee,3,0,0,100,South-Africa
Keshav Maharaj,1,0,0,100,South-Africa
Jonny Bairstow,10,1,1,83.33,England
Dawid Malan,6,1,0,54.54,England
Joe Root,2,0,0,33.33,England
Ben Stokes,5,1,0,62.5,England
Harry Brook,17,2,1,68,England
Jos Buttler(c) wk ,15,2,1,214.28,England
David Willey,12,1,1,100,England
Adil Rashid,10,1,0,71.42,England
Gus Atkinson,35,7,0,166.66,England
Mark Wood,43,2,5,252.94,England
Devon Conway,0,0,0,0,New-Zealand
Will Young,17,3,0,62.96,New-Zealand
Rachin Ravindra,75,6,1,86.2,New-Zealand
Daryl Mitchell,130,9,5,102.36,New-Zealand
Tom Latham(c) wk ,5,1,0,71.42,New-Zealand
Glenn Phillips,23,0,1,88.46,New-Zealand
Mark Chapman,6,0,0,75,New-Zealand
Mitchell Santner,1,0,0,50,New-Zealand
Matt Henry,0,0,0,0,New-Zealand
Lockie Ferguson,1,0,0,20,New-Zealand
Trent Boult,0,0,0,0,New-Zealand
Rohit Sharma(c),46,4,4,115,India
Shubman Gill,26,5,0,83.87,India
Virat Kohli,95,8,2,91.34,India
Shreyas Iyer,33,6,0,113.79,India
KL Rahul wk ,27,3,0,77.14,India
Suryakumar Yadav,2,0,0,50,India
Ravindra Jadeja,39,3,1,88.63,India
Mohammed Shami,1,0,0,100,India
Abdullah Shafique,58,5,2,77.33,Pakistan
Imam-ul-Haq,17,2,0,77.27,Pakistan
Babar Azam(c),74,4,1,80.43,Pakistan
Mohammad Rizwan wk ,8,0,1,80,Pakistan
Saud Shakeel,25,3,0,73.52,Pakistan
Shadab Khan,40,1,1,105.26,Pakistan
Iftikhar Ahmed,40,2,4,148.14,Pakistan
Shaheen Shah Afridi,3,0,0,100,Pakistan
Rahmanullah Gurbaz,65,9,1,122.64,Afghanistan
Ibrahim Zadran,87,10,0,76.99,Afghanistan
Rahmat Shah,77,5,2,91.66,Afghanistan
Hashmatullah Shahidi(c),48,4,0,106.66,Afghanistan
Quinton de Kock wk ,174,15,7,124.28,South-Africa
Reeza Hendricks,12,1,0,63.15,South-Africa
Rassie van der Dussen,1,0,0,14.28,South-Africa
Aiden Markram(c),60,7,0,86.95,South-Africa
Heinrich Klaasen,90,2,8,183.67,South-Africa
David Miller,34,1,4,226.66,South-Africa
Marco Jansen,1,0,0,100,South-Africa
Tanzid Hasan,12,1,0,70.58,Bangladesh
Litton Das,22,3,1,50,Bangladesh
Najmul Hossain Shanto,0,0,0,0,Bangladesh
Shakib Al Hasan(c),1,0,0,25,Bangladesh
Mushfiqur Rahim wk ,8,1,0,47.05,Bangladesh
Mahmudullah,111,11,4,100,Bangladesh
Mehidy Hasan Miraz,11,1,0,57.89,Bangladesh
Nasum Ahmed,19,3,0,100,Bangladesh
Hasan Mahmud,15,2,0,60,Bangladesh
Mustafizur Rahman,11,2,0,52.38,Bangladesh
Shoriful Islam,6,1,0,150,Bangladesh
Mitchell Marsh,9,2,0,60,Australia
David Warner,104,11,3,111.82,Australia
Steven Smith,71,9,1,104.41,Australia
Marnus Labuschagne,62,7,2,131.91,Australia
Josh Inglis wk ,14,1,1,116.66,Australia
Glenn Maxwell,106,9,8,240.9,Australia
Cameron Green,8,1,0,72.72,Australia
Pat Cummins(c),12,2,0,133.33,Australia
Mitchell Starc,0,0,0,0,Australia
Adam Zampa,1,0,0,100,Australia
Vikramjit Singh,25,6,0,100,Netherlands
Max O'Dowd,6,1,0,66.66,Netherlands
Colin Ackermann,10,2,0,90.9,Netherlands
Sybrand Engelbrecht,11,1,0,52.38,Netherlands
Bas de Leede,4,1,0,57.14,Netherlands
Scott Edwards(c) wk ,12,0,0,54.54,Netherlands
Teja Nidamanuru,14,2,0,77.77,Netherlands
Logan van Beek,0,0,0,0,Netherlands
Roelof van der Merwe,0,0,0,0,Netherlands
Aryan Dutt,1,0,0,12.5,Netherlands
Paul van Meekeren,0,0,0,0,Netherlands
Jonny Bairstow,30,3,0,96.77,England
Dawid Malan,28,6,0,112,England
Joe Root,3,0,0,30,England
Ben Stokes,43,6,0,58.9,England
Jos Buttler(c) wk ,8,1,0,133.33,England
Liam Livingstone,1,0,0,16.66,England
Moeen Ali,15,1,0,100,England
Chris Woakes,0,0,0,0,England
David Willey,14,1,1,82.35,England
Adil Rashid,2,0,0,28.57,England
Mark Wood,5,1,0,83.33,England
Pathum Nissanka,77,7,2,92.77,Sri-Lanka
Kusal Perera,4,1,0,80,Sri-Lanka
Kusal Mendis(c) wk ,11,2,0,91.66,Sri-Lanka
Sadeera Samarawickrama,65,7,1,120.37,Sri-Lanka
Abdullah Shafique,9,1,0,52.94,Pakistan
Imam-ul-Haq,12,2,0,66.66,Pakistan
Babar Azam(c),50,4,1,76.92,Pakistan
Mohammad Rizwan wk ,31,4,1,114.81,Pakistan
Iftikhar Ahmed,21,1,1,67.74,Pakistan
Saud Shakeel,52,7,0,100,Pakistan
Shadab Khan,43,3,2,119.44,Pakistan
Mohammad Nawaz,24,1,2,100,Pakistan
Shaheen Shah Afridi,2,0,0,50,Pakistan
Mohammad Wasim,7,0,1,77.77,Pakistan
Haris Rauf,0,0,0,0,Pakistan
Temba Bavuma(c),28,4,1,103.7,South-Africa
Quinton de Kock wk ,24,5,0,171.42,South-Africa
Rassie van der Dussen,21,0,0,53.84,South-Africa
Aiden Markram,91,7,3,97.84,South-Africa
Heinrich Klaasen,12,0,1,120,South-Africa
David Miller,29,2,2,87.87,South-Africa
Marco Jansen,20,2,1,142.85,South-Africa
Gerald Coetzee,10,0,0,76.92,South-Africa
Keshav Maharaj,7,1,0,33.33,South-Africa
Lungi Ngidi,4,0,0,28.57,South-Africa
Tabraiz Shamsi,4,0,0,66.66,South-Africa
David Warner,81,5,6,124.61,Australia
Travis Head,109,10,7,162.68,Australia
Mitchell Marsh,36,2,0,70.58,Australia
Steven Smith,18,2,0,105.88,Australia
Marnus Labuschagne,18,2,0,69.23,Australia
Glenn Maxwell,41,5,2,170.83,Australia
Josh Inglis wk ,38,4,1,135.71,Australia
Pat Cummins(c),37,2,4,264.28,Australia
Mitchell Starc,1,0,0,33.33,Australia
Adam Zampa,0,0,0,0,Australia
Devon Conway,28,6,0,164.7,New-Zealand
Will Young,32,4,1,86.48,New-Zealand
Rachin Ravindra,116,9,5,130.33,New-Zealand
Daryl Mitchell,54,6,1,105.88,New-Zealand
Tom Latham(c) wk ,21,2,0,95.45,New-Zealand
Glenn Phillips,12,1,0,75,New-Zealand
James Neesham,58,3,3,148.71,New-Zealand
Mitchell Santner,17,1,1,141.66,New-Zealand
Matt Henry,9,1,0,112.5,New-Zealand
Trent Boult,10,0,1,125,New-Zealand
Lockie Ferguson,0,0,0,0,New-Zealand
Vikramjit Singh,3,0,0,33.33,Netherlands
Max O'Dowd,0,0,0,0,Netherlands
Wesley Barresi,41,8,0,100,Netherlands
Colin Ackermann,15,1,0,45.45,Netherlands
Scott Edwards(c) wk ,68,6,0,76.4,Netherlands
Bas de Leede,17,2,0,53.12,Netherlands
Sybrand Engelbrecht,35,3,0,57.37,Netherlands
Logan van Beek,23,2,1,143.75,Netherlands
Shariz Ahmad,6,0,0,75,Netherlands
Aryan Dutt,9,0,1,150,Netherlands
Paul van Meekeren,0,0,0,0,Netherlands
Litton Das,3,0,0,25,Bangladesh
Tanzid Hasan,15,3,0,93.75,Bangladesh
Mehidy Hasan Miraz,35,5,1,87.5,Bangladesh
Najmul Hossain Shanto,9,2,0,50,Bangladesh
Shakib Al Hasan(c),5,0,0,35.71,Bangladesh
Mushfiqur Rahim wk ,1,0,0,20,Bangladesh
Mahmudullah,20,2,0,48.78,Bangladesh
Mahedi Hasan,17,1,0,44.73,Bangladesh
Taskin Ahmed,11,1,0,31.42,Bangladesh
Mustafizur Rahman,20,2,1,57.14,Bangladesh
Rohit Sharma(c),87,10,3,86.13,India
Shubman Gill,9,1,0,69.23,India
Virat Kohli,0,0,0,0,India
Shreyas Iyer,4,0,0,25,India
KL Rahul wk ,39,3,0,67.24,India
Suryakumar Yadav,49,4,1,104.25,India
Ravindra Jadeja,8,0,0,61.53,India
Mohammed Shami,1,0,0,20,India
Jasprit Bumrah,16,1,0,64,India
Kuldeep Yadav,9,1,0,69.23,India
Jonny Bairstow,14,2,0,60.86,England
Dawid Malan,16,2,1,94.11,England
Joe Root,0,0,0,0,England
Ben Stokes,0,0,0,0,England
Jos Buttler(c) wk ,10,1,0,43.47,England
Moeen Ali,15,0,0,48.38,England
Liam Livingstone,27,2,0,58.69,England
Chris Woakes,10,1,0,50,England
David Willey,16,0,2,94.11,England
Adil Rashid,13,2,0,65,England
Mark Wood,0,0,0,0,England
Pathum Nissanka,46,5,0,76.66,Sri-Lanka
Dimuth Karunaratne,15,1,0,71.42,Sri-Lanka
Kusal Mendis(c) wk ,39,3,0,78,Sri-Lanka
Sadeera Samarawickrama,36,3,0,90,Sri-Lanka
Charith Asalanka,22,2,0,78.57,Sri-Lanka
Dhananjaya de Silva,14,1,0,53.84,Sri-Lanka
Angelo Mathews,23,1,1,88.46,Sri-Lanka
Dushmantha Chameera,1,0,0,25,Sri-Lanka
Maheesh Theekshana,29,3,1,93.54,Sri-Lanka
Kasun Rajitha,5,0,0,71.42,Sri-Lanka
Dilshan Madushanka,0,0,0,0,Sri-Lanka
Rahmanullah Gurbaz,0,0,0,0,Afghanistan
Ibrahim Zadran,39,4,1,68.42,Afghanistan
Rahmat Shah,62,7,0,83.78,Afghanistan
Hashmatullah Shahidi(c),58,2,1,78.37,Afghanistan
Azmatullah Omarzai,73,6,3,115.87,Afghanistan
Tanzid Hasan,0,0,0,0,Bangladesh
